method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 0 faces, Not Detected: 1
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0
method: OpenCVHaarFaceDetector, Detected: 1 faces, Not Detected: 0









